id,question,options,answer,notes,Tags,questionPre
220210049,计算甲公司进口高档护肤类化妆品增值税税额的下列算式中，正确的是{{c1::}}。,（85＋4.25）×13％＝11.6（万元）<br>||85÷（1－15％）×13％＝13（万元）<br>||（85＋4.25）÷（1－15％）×13％＝13.65（万元）<br>||85×13％＝11.05（万元）<br>,3,参考解析：进口货物应缴纳的增值税税额＝（关税完税价格＋关税）÷（1－消费税税率）×13％。<br>,模拟试卷一,甲公司为增值税一般纳税人，主要从事化妆品生产和销售业务。2021年10月有关经营情况如下：<br>（1）进口一批高档护肤类化妆品，海关核定的关税完税价格85万元，已缴纳关税4.25万元。<br>（2）购进生产用化妆包，取得增值税专用发票注明税额16万元；支付其运输费，取得增值税专用发票注明税额0.4万元，因管理不善该批化妆包全部丢失。<br>（3）委托加工高档美容类化妆品，支付加工费取得增值税专用发票注明税额64万元。<br>（4）购进生产用酒精，取得增值税专用发票注明税额12.8万元。<br>（5）销售自产成套化妆品，取得含增值税价款696万元，另收取包装物押金3.48万元。<br>已知：增值税税率为13％；高档化妆品消费税税率为15％。取得的扣税凭证均已通过税务机关认证。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220210050,甲公司的下列进项税额中，准予从销项税额中抵扣的是{{c1::}}。,支付加工费的进项税额64万元<br>||支付运输费的进项税额0.4万元<br>||购进生产用酒精的进项税额12.8万元<br>||购进生产用化妆包的进项税额16万元<br>,1||3,参考解析：因管理不善造成非正常损失的购进货物、服务进项税额不得抵扣。<br>,模拟试卷一,甲公司为增值税一般纳税人，主要从事化妆品生产和销售业务。2021年10月有关经营情况如下：<br>（1）进口一批高档护肤类化妆品，海关核定的关税完税价格85万元，已缴纳关税4.25万元。<br>（2）购进生产用化妆包，取得增值税专用发票注明税额16万元；支付其运输费，取得增值税专用发票注明税额0.4万元，因管理不善该批化妆包全部丢失。<br>（3）委托加工高档美容类化妆品，支付加工费取得增值税专用发票注明税额64万元。<br>（4）购进生产用酒精，取得增值税专用发票注明税额12.8万元。<br>（5）销售自产成套化妆品，取得含增值税价款696万元，另收取包装物押金3.48万元。<br>已知：增值税税率为13％；高档化妆品消费税税率为15％。取得的扣税凭证均已通过税务机关认证。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220210051,甲公司的下列业务中，应缴纳消费税的是{{c1::}}。,委托加工高档美容类化妆品<br>||购进生产用酒精<br>||购进生产用化妆包<br>||进口高档护肤类化妆品<br>,1||4,参考解析：选项AD，高档化妆品，在生产、委托加工、进口环节缴纳消费税；选项BC，化妆包、酒精不属于应征收消费税的消费品。<br>,模拟试卷一,甲公司为增值税一般纳税人，主要从事化妆品生产和销售业务。2021年10月有关经营情况如下：<br>（1）进口一批高档护肤类化妆品，海关核定的关税完税价格85万元，已缴纳关税4.25万元。<br>（2）购进生产用化妆包，取得增值税专用发票注明税额16万元；支付其运输费，取得增值税专用发票注明税额0.4万元，因管理不善该批化妆包全部丢失。<br>（3）委托加工高档美容类化妆品，支付加工费取得增值税专用发票注明税额64万元。<br>（4）购进生产用酒精，取得增值税专用发票注明税额12.8万元。<br>（5）销售自产成套化妆品，取得含增值税价款696万元，另收取包装物押金3.48万元。<br>已知：增值税税率为13％；高档化妆品消费税税率为15％。取得的扣税凭证均已通过税务机关认证。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220210052,计算甲公司销售自产成套化妆品消费税税额的下列算式中，正确的是{{c1::}}。,696÷（1＋13％）×15％＝92.39（万元）<br>||696×15％＝104.4（万元）<br>||[696÷（1＋13％）＋3.48]×15％＝92.91（万元）<br>||（696＋3.48）÷（1＋13％）×15％＝92.85（万元）<br>,1,参考解析：化妆品的包装物押金在取得时不作为价外费用；取得的含增值税销售额应当换算为不含增值税的销售额。<br>,模拟试卷一,甲公司为增值税一般纳税人，主要从事化妆品生产和销售业务。2021年10月有关经营情况如下：<br>（1）进口一批高档护肤类化妆品，海关核定的关税完税价格85万元，已缴纳关税4.25万元。<br>（2）购进生产用化妆包，取得增值税专用发票注明税额16万元；支付其运输费，取得增值税专用发票注明税额0.4万元，因管理不善该批化妆包全部丢失。<br>（3）委托加工高档美容类化妆品，支付加工费取得增值税专用发票注明税额64万元。<br>（4）购进生产用酒精，取得增值税专用发票注明税额12.8万元。<br>（5）销售自产成套化妆品，取得含增值税价款696万元，另收取包装物押金3.48万元。<br>已知：增值税税率为13％；高档化妆品消费税税率为15％。取得的扣税凭证均已通过税务机关认证。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220210053,甲公司下列收入中，应计入2021年度企业所得税收入总额的是{{c1::}}。,出租闲置设备收入500万元<br>||国债利息收入50万元<br>||销售电冰箱收入8 000万元<br>||理财产品收益30万元<br>,1||2||3||4,参考解析：选项A，属于租金收入；选项B，属于利息收入亦属于免税收入；选项C，属于销售货物收入；选项D，属于利息收入。应税收入、不征税收入和免税收入均应当计入收入总额。<br>,模拟试卷一,甲公司为居民企业，主要从事电冰箱的生产和销售业务。2021年有关经营情况如下：<br>（1）销售电冰箱收入8 000万元；出租闲置设备收入500万元；国债利息收入50万元；理财产品收益30万元。<br>（2）符合条件的广告费支出1 500万元。<br>（3）向银行借入流动资金支付利息支出55万元；非广告性赞助支出80万元；向客户支付违约金3万元；计提坏账准备金8万元。<br>（4）全年利润总额为900万元。<br>已知：广告费和业务宣传费支出，不超过当年销售（营业）收入15％的部分，准予扣除。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220210054,甲公司在计算2021年度企业所得税应纳税所得额时，准予扣除的广告费支出是{{c1::}}。,1 275万元<br>||1 500万元<br>||1 287万元<br>||1 200万元<br>,1,参考解析：①计算广告费和业务宣传费时，作为扣除基数的销售（营业）收入，包括主营业务收入、其他业务收入、视同销售收入，不包括投资收益和营业外收入。本题中，销售（营业）收入＝8 000＋500＝8 500（万元）；②广告费和业务宣传费的实际发生额1 500万元＞扣除限额＝8 500×15％＝1 275（万元），准予按限额扣除1 275万元。<br>,模拟试卷一,甲公司为居民企业，主要从事电冰箱的生产和销售业务。2021年有关经营情况如下：<br>（1）销售电冰箱收入8 000万元；出租闲置设备收入500万元；国债利息收入50万元；理财产品收益30万元。<br>（2）符合条件的广告费支出1 500万元。<br>（3）向银行借入流动资金支付利息支出55万元；非广告性赞助支出80万元；向客户支付违约金3万元；计提坏账准备金8万元。<br>（4）全年利润总额为900万元。<br>已知：广告费和业务宣传费支出，不超过当年销售（营业）收入15％的部分，准予扣除。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220210055,甲公司在计算2021年度企业所得税应纳税所得额时，下列支出中，不得扣除的是{{c1::}}。,向银行借入流动资金支付利息支出55万元<br>||向客户支付违约金3万元<br>||计提坏账准备金8万元<br>||非广告性赞助支出80万元<br>,3||4,参考解析：选项A，向金融机构的借款利息支出准予据实扣除；选项B，向客户支付的违约金属于商业行为产生的费用，允许据实扣除；选项CD，非广告性赞助支出、未经核定的准备金支出不允许税前扣除。<br>,模拟试卷一,甲公司为居民企业，主要从事电冰箱的生产和销售业务。2021年有关经营情况如下：<br>（1）销售电冰箱收入8 000万元；出租闲置设备收入500万元；国债利息收入50万元；理财产品收益30万元。<br>（2）符合条件的广告费支出1 500万元。<br>（3）向银行借入流动资金支付利息支出55万元；非广告性赞助支出80万元；向客户支付违约金3万元；计提坏账准备金8万元。<br>（4）全年利润总额为900万元。<br>已知：广告费和业务宣传费支出，不超过当年销售（营业）收入15％的部分，准予扣除。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220210056,计算甲公司2021年度企业所得税应纳税所得额的下列算式中，正确的是{{c1::}}。,900＋（1 500－1 287）＋80＋3＋8＝1 204（万元）<br>||900－50＋（1 500－1 275）＋80＋8＝1 163（万元）<br>||900－500＋55＋8＝463（万元）<br>||900－30＋（1 500－1 200）＝1 170（万元）<br>,2,参考解析：①国债利息收入属于免税收入，应纳税调减50万元；②广告费和业务宣传费支出1 500万元，税法规定的扣除限额为1 275万元（见本题第2小题），应纳税调增1 500－1 275＝225（万元）；③非广告性赞助支出和计提的坏账准备不得在税前扣除（见本题第3小题），应纳税调增80＋8＝88（万元）；④应纳税所得额＝会计利润＋纳税调整增加额－纳税调整减少额＝900－50＋（1 500－1 275）＋80＋8＝1 163（万元）。<br>,模拟试卷一,甲公司为居民企业，主要从事电冰箱的生产和销售业务。2021年有关经营情况如下：<br>（1）销售电冰箱收入8 000万元；出租闲置设备收入500万元；国债利息收入50万元；理财产品收益30万元。<br>（2）符合条件的广告费支出1 500万元。<br>（3）向银行借入流动资金支付利息支出55万元；非广告性赞助支出80万元；向客户支付违约金3万元；计提坏账准备金8万元。<br>（4）全年利润总额为900万元。<br>已知：广告费和业务宣传费支出，不超过当年销售（营业）收入15％的部分，准予扣除。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211001,下列法律关系客体中属于信息、数据、网络虚拟财产的是{{c1::}}。,矿产情报<br>||实用新型<br>||经济管理行为<br>||天然气<br>,1,参考解析：本题考核法律关系的客体。信息、数据、网络虚拟财产作为法律关系客体的信息，是指有价值的情报或资讯，如矿产情报、产业情报、国家机密、商业秘密、个人隐私等。<br>,模拟试卷二,
220211002,根据《民法典》规定，非法人组织的代表是{{c1::}}。,只能确定一人代表该组织从事民事活动<br>||董事长、执行董事或者经理代表该组织从事民事活动<br>||法定代表人代表该组织从事民事活动<br>||确定一人或者数人代表该组织从事民事活动<br>,4,参考解析：本题考核非法人组织的代表。根据规定，非法人组织可以确定一人或者数人代表该组织从事民事活动。注意，法人才涉及法定代表人，另外，营利法人的董事长、执行董事或者经理按照法人章程的规定担任法定代表人。<br>,模拟试卷二,
220211003,根据会计法律制度的规定，下列各项中，属于伪造会计凭证行为的是{{c1::}}。,改变计量方法的手段<br>||采用挖补手段改变<br>||以虚假经济业务为前提，编造虚假的会计凭证<br>||采用涂改手段改变会计凭证的真实性<br>,3,参考解析：本题考核会计核算基本要求。伪造会计凭证是指以虚假的经济业务事项为前提编造不真实的会计凭证。<br>,模拟试卷二,
220211004,关于填制记账凭证时出现错误的处理方法，下列说法中，正确的是{{c1::}}。,可以将错误的内容进行涂销，并由经办人员在涂销处签章<br>||金额填写错误的，应由原出具单位重新开具<br>||应当重新填制<br>||先登记入账，后期再会计差错更正<br>,3,参考解析：本题考核记账凭证填制的基本要求。如果在填制记账凭证时发生错误，应当重新填制。<br>,模拟试卷二,
220211005,根据个人银行结算账户实名制的要求，下列人员出具的证件、证明材料中，不属于在境内银行申请开立个人银行账户的有效身份证件是{{c1::}}。,20周岁的吴某出具的机动车驾驶证<br>||定居美国的周某出具的中国护照<br>||25周岁的王某出具的居民身份证<br>||15周岁的学生赵某出具的户口簿<br>,1,参考解析：本题考核个人银行结算账户的开户证明文件。有效身份证件包括：①在中华人民共和国境内已登记常住户口的中国公民为居民身份证（选项C）；不满16周岁的，可以使用居民身份证或户口簿（选项D）。②香港、澳门特别行政区居民为港澳居民来往内地通行证。③台湾地区居民为台湾居民来往大陆通行证。④国外的中国公民为中国护照（选项B）。⑤外国公民为护照或者外国人永久居留证。机动车驾驶证属于辅助身份证明材料。<br>,模拟试卷二,
220211006,根据支付结算法律制度的规定，下列关于条码支付的表述中不正确的是{{c1::}}。,条码支付业务包括付款扫码和收款扫码<br>||收款扫码是指收款人通过识读付款人移动终端展示的条码完成支付的行为<br>||收款扫码是指付款人通过移动终端识读收款人展示的条码完成支付的行为<br>||银行、支付机构提供收款扫码服务的，应使用动态条码<br>,3,参考解析：本题考核条码支付。付款扫码是指付款人通过移动终端识读收款人展示的条码完成支付的行为。<br>,模拟试卷二,
220211007,在我国票据法律制度规定的票据种类中，记载出票金额和实际结算金额两种金额的票据是{{c1::}}。,银行本票<br>||银行承兑汇票<br>||银行汇票<br>||支票<br>,3,参考解析：本题考核银行汇票的概念。银行签发银行汇票时，基于所收妥的金额填写“出票金额”。银行汇票申请人在取得汇票后，由其自己或者取得汇票的相对人根据实际应支付的款项，另行填写“实际结算金额”，其数额不得超过出票金额。<br>,模拟试卷二,
220211008,甲公司向乙公司开出一张纸质银行承兑汇票，汇票已经A银行承兑。乙公司将票据依法贴现给B银行，A银行依法对该汇票进行付款确认后，B银行依法将票据转贴现给C银行，D银行为保证增信行。根据《票据交易管理办法》的规定，该汇票到期偿付先后顺序是{{c1::}}。,D银行、A银行、C银行<br>||A银行、D银行、B银行<br>||B银行、C银行、D银行<br>||A银行、B银行、C银行<br>,2,参考解析：本题考核商业汇票到期偿付顺序。根据规定，票据保证增信后（D银行）且经承兑人（A银行）付款确认的，应当由承兑人（A银行）付款；若承兑人（A银行）未付款，应当由保证增信行（D银行）先行偿付；保证增信行（D银行）未偿付的，应当由贴现人（B银行）先行偿付。<br>,模拟试卷二,
220211009,根据劳动合同法律制度的规定，被派遣劳动者在无工作期间，劳务派遣单位应当按照法定标准向其按月支付报酬，该标准为{{c1::}}。,所在地上年度职工月平均工资<br>||被派遣劳动者在工作期间的月平均工资<br>||劳务派遣单位职工月平均工资<br>||所在地人民政府规定的月最低工资标准<br>,4,参考解析：本题考核劳务派遣中被派遣劳动者无工作期间的工资标准。被派遣劳动者在无工作期间，劳务派遣单位应按所在地人民政府规定的最低工资标准，向其按月支付报酬。<br>,模拟试卷二,
220211010,甲公司高级管理人员张某2021年度月平均工资为15 000元，公司所在地职工月平均工资为4 000元。2021年甲公司每月应扣缴张某基本养老保险费的下列计算列式中，正确的是{{c1::}}。,4 000×2×8％＝640（元）<br>||15 000×8％＝1200（元）<br>||4 000×8％＝320（元）<br>||4 000×3×8％＝960（元）<br>,4,参考解析：本题考核基本养老保险费的缴纳。①按照现行政策，职工个人按照本人缴费工资的8％缴费，记入个人账户；②职工本人月平均工资高于当地职工月工资300％的，按当地职工月平均工资的300％作为缴费基数；③张某每月应缴纳的基本养老保险费＝4 000×3×8％＝960（元）。<br>,模拟试卷二,
220211011,下列关于医疗期的表述中，不符合法律规定的是{{c1::}}。,实际工作年限不足10年的，在本单位工作年限不足5年的，医疗期间为3个月<br>||实际工作年限10年以上的，在本单位工作年限20年以上的，医疗期间为24个月<br>||实际工作年限10年以上的，在本单位工作年限10年以上不足15年的，医疗期间为12个月<br>||实际工作年限20年以上的，医疗期间没有限制<br>,4,参考解析：本题考核医疗期期间。在本单位工作20年以上的，医疗期为24个月。<br>,模拟试卷二,
220211012,根据增值税法律制度的规定，下列各项中，不属于视同销售货物行为的有{{c1::}}。,将购进的货物用于本单位领导的个人消费<br>||将委托加工收回的货物用于集体福利<br>||将购进的货物投资给其他单位<br>||将购进的货物无偿赠送给其他单位<br>,1,参考解析：本题考核增值税视同销售行为。将自产、委托加工或者购进的货物作为投资，提供给其他单位或者个体工商户、分配给股东或者投资者、无偿赠送其他单位或者个人均属于视同销售的情形；将外购的货物用于非增值税应税项目、免税项目、集体福利或者是个人消费均不属于视同销售的情形，其进项税额不可以抵扣。<br>,模拟试卷二,
220211013,"某企业为增值税小规模纳税人。10月进口一批高档化妆品，关税完税价格40万元。已知：高档化妆品关税税率为20％,消费税税率为15％，增值税税率为13％。该企业进口高档化妆品应纳进口增值税税额为{{c1::}}。",41.6万元<br>||6.80万元<br>||8.16万元<br>||7.34万元<br>,4,参考解析：本题考核进口环节增值税的计算。进口货物增值税税率与企业性质无关，所以，该企业进口高档化妆品应纳进口增值税税额＝关税完税价格×（1＋关税税率）÷（1－消费税税率）×增值税税率＝40×（1＋20％）÷（1－15％）×13％＝7.34（万元）。注意进口应税消费品的，增值税与消费税的组成计税价格相同。<br>,模拟试卷二,
220211014,根据消费税法律制度的规定，下列各项中，可以按当期生产领用数量计算准予扣除外购的应税消费品已纳消费税税款的是{{c1::}}。,外购已税白酒生产的药酒<br>||外购已税烟丝生产的卷烟<br>||外购已税翡翠生产加工的金银翡翠首饰<br>||外购已税钻石生产的高档手表<br>,2,参考解析：本题考核消费税的抵扣规定。准予扣除外购的应税消费品已纳消费税税款的扣除范围包括：①外购已税烟丝生产的卷烟；②外购已税高档化妆品原料生产的高档化妆品；③外购已税珠宝、玉石为原料生产的贵重首饰及珠宝、玉石；④外购已税鞭炮、焰火为原料生产的鞭炮、焰火；⑤外购已税杆头、杆身和握把为原料生产的高尔夫球杆；⑥外购已税木制一次性筷子为原料生产的木制一次性筷子；⑦外购已税实木地板为原料生产的实木地板；⑧外购已税石脑油、润滑油、燃料油为原料生产的成品油；⑨外购已税汽油、柴油为原料生产的汽油、柴油。<br>,模拟试卷二,
220211015,甲公司2021年度利润总额300万元，预缴企业所得税税额60万元，在“营业外支出”账户中列支了通过公益性社会组织向灾区的捐款38万元。已知企业所得税税率为25％；公益性捐赠支出不超过年度利润总额12％的部分，准予在计算企业所得税应纳税所得额时扣除。计算甲公司当年应补缴企业所得税税额的下列算式中，正确的是{{c1::}}。,300×25％－60＝15（万元）<br>||（300＋300×12％）×25％－60＝24（万元）<br>||[300＋（38－300×12％）]×25％－60＝15.5（万元）<br>||（300＋38）×25％－60＝24.5（万元）<br>,3,参考解析：本题考核企业所得税中公益性捐赠的纳税调整。公益性捐赠的扣除限额＝300×12％＝36（万元），因此应调增38－36＝2（万元）。应纳税额＝（300＋2）×25％－60＝15.5（万元）。<br>,模拟试卷二,
220211016,根据企业所得税法律制度的规定，下列支出中，可以直接在税前扣除的是{{c1::}}。,企业为投资者支付的商业保险费<br>||企业从其关联方接受的债权性投资与权益性投资的比例超过规定标准而发生的利息支出<br>||企业参加财产保险，按照规定缴纳的保险费<br>||非银行企业内营业机构之间的利息<br>,3,参考解析：本题考核企业所得税扣除项目的规定。选项AC，企业为个人支付的商业保险费不得扣除，但是为职工支付的社会保险费和为本企业财产支付的财产保险是可以扣除的；选项B，企业从其关联方接受债权性投资与权益性投资的比例“未”超过规定标准而发生的利息支出，准予扣除；选项D，非银行企业内营业机构之间支付的利息不得扣除。注意结合利息支出的扣除规定，即非金融企业向金融企业借款的利息支出、金融企业的各项存款利息支出和同业拆借利息支出、企业经批准发行债券的利息支出可据实扣除；非金融企业向非金融企业借款的利息支出，不超过按照金融企业同期同类贷款利率计算的数额的部分，可以在税前扣除。<br>,模拟试卷二,
220211017,张某是自由投资人，专门投资境内上市公司的非限售股股票，2021年4月从证券市场取得的收入包括：4月1日从境内甲上市公司取得股息所得12万元，张某截至4月1日已经持有甲公司股票10天，后将甲公司的股票在4月5日出售，取得股票转让所得150万元。下列关于张某股息所得与股票转让所得的说法中，正确的是{{c1::}}。,张某取得12万元股息可减按50％计入应纳税所得额，并按税率20％计算缴纳“利息、股息、红利所得”的个人所得税<br>||张某取得的150万元应按照“财产转让所得”缴纳个人所得税，税率为20％，不允许作任何扣除<br>||张某取得12万元股息免税<br>||张某取得的150万元暂不征税<br>,4,参考解析：本题考核利息、股息、红利所得与财产转让所得的个人所得税政策。根据规定，个人从公开发行和转让市场取得的上市公司股票，持股期限在一个月以内（含1个月）的，其股息红利所得全额计入应纳税所得额；持股期限在1个月以上至1年（含1年）的，暂减按50％计入应纳税所得额；持股期限超过1年的，暂免征收个人所得税。上述所得统一适用20％的税率计征个人所得税。本题中，张某持有甲公司股票的期间不足1个月，不享受股息所得的减免政策，因此应全额征税，选项A和选项C的说法错误；个人股票转让所得（非限售股）暂不征收个人所得税，因此选项B的说法错误。<br>,模拟试卷二,
220211018,下列关于财产租赁所得应纳税额计算的相关说法中，不正确的是{{c1::}}。,个人出租房屋的个人所得税应税收入不含增值税<br>||计算房屋出租所得可扣除的税费中不包括本次出租缴纳的增值税<br>||个人转租房屋的，其向房屋出租方支付的租金，在计算转租所得时予以扣除<br>||个人转租房屋的，其向房屋出租方支付的增值税额，在计算转租所得时不得扣除<br>,4,参考解析：本题考核财产租赁所得的所得税计算。个人转租房屋的，其向房屋出租方支付的租金及增值税额，在计算转租所得时予以扣除。<br>,模拟试卷二,
220211019,张某将自己5年前购买的保障房转让给李某。该房屋依法执行政府定价，政府过户指导价200万元、评估价格180万元，同地段、同户型、同面积的其他商品房价格为400万元。已知产权转移书据的印花税税率为0.5‰，以上价格均为不含增值税价款，双方在产权转移书据中未列明价款。张某应缴纳产权转移书据印花税的计算中，正确的是{{c1::}}。,4 000 000×0.5‰＝2 000（元）<br>||2 000 000×0.5‰＝1 000（元）<br>||1 800 000×0.5‰＝900（元）<br>||0<br>,2,参考解析：本题考核印花税的计税依据。应税产权转移书据的计税依据，为产权转移书据所列的金额，不包括列明的增值税税款；产权转移书据未列明金额的，印花税的计税依据按照实际结算的金额确定。计税依据按照规定仍不能确定的，按照书立合同、产权转移书据时的市场价格确定；依法应当执行政府定价或者政府指导价的，按照国家有关规定确定。本题中，由于双方未在产权转移书据中列明价款，而且该保障房执行政府定价，因此计税依据应按照200万元确定。<br>,模拟试卷二,
220211020,某铜矿8月销售当月开采的铜矿石原矿取得不含税销售收入800万元，当月以外购成本300万元的原矿与自采原矿混合洗选加工为选矿并全部销售，取得选矿不含税收入1 600万元。已知：该矿山铜矿石原矿资源税税率为4.2％、选矿的资源税税率为3％，则该铜矿8月份缴纳的资源税是{{c1::}}。,800×4.2％＋1 600×3％＝81.6（万元）<br>||800×4.2％＋（1 600－300）×3％＝72.6（万元）<br>||800×4.2％＋（1 600－300×4.2％÷3％）×3％＝69（万元）<br>||（800－300×4.2％÷3％）×4.2％＋1 600×3％＝63.96（万元）<br>,3,参考解析：本题考核金属矿产资源税的计算。①实行从价计征的，应纳税额按照应税资源产品的销售额乘以具体适用税率计算。销售铜原矿应以800万元的计税依据计算资源税；②纳税人以外购原矿与自采原矿混合洗选加工为选矿产品销售的，在计算应税产品销售额或者销售数量时，按照下列方法进行扣减：准予扣减的外购应税产品购进金额（数量）＝外购原矿购进金额（数量）×（本地区原矿适用税率÷本地区选矿产品适用税率）。本题中，可以扣减的外购原矿购进金额为：300×4.2％÷3％＝420（万元），当期选矿销售额1 600万元扣减420万元后的金额为精矿的资源税计税依据。<br>,模拟试卷二,
220211021,2021年2月，甲企业转让自建厂房，取得不含增值税的销售额5 000万元，准予扣除项目金额共计3 000万元。已知土地增值税税率为40％，速算扣除系数为5％，甲企业该笔业务应缴纳土地增值税税额的下列算式中，正确的是{{c1::}}。,（5 000－3 000）×40％－5 000×5％＝550（万元）<br>||（5 000－3 000）×40％－3 000×5％＝650（万元）<br>||5 000×40％－3 000×5％＝1 850（万元）<br>||5 000×40％－（5 000－3 000）×5％＝1 900（万元）<br>,2,参考解析：本题考核土地增值税的计算。土地增值税＝增值额×税率－扣除项目金额×速算扣除系数；增值额＝转让房地产取得的收入－扣除项目金额。<br>,模拟试卷二,
220211022,张老师在2021年9月1日签订购房合同购买一套住房。约定2021年12月10日支付房屋价款，2021年12月20日办理权属转移手续，则契税申报缴纳的期限是{{c1::}}。,9月1日起15日内<br>||12月20日办理权属转移手续之前<br>||12月10日支付价款之前<br>||12月10日支付价款之后至12月20日办理权属转移手续之前<br>,2,参考解析：本题考核契税的申报期限。根据规定，契税的纳税义务发生时间是纳税人签订土地、房屋权属转移合同的当日。纳税人应当在依法办理土地、房屋权属登记手续前申报缴纳契税。本题中，张老师在9月1日签订购房合同时产生纳税义务，在12月20日办理权属转移手续之前申报缴纳契税。<br>,模拟试卷二,
220211023,根据税收违法行为检举管理的规定，举报中心应当在检举事项受理之日起一定期限内完成分级分类处理，特殊情况除外，该期限是{{c1::}}。,30日<br>||15日<br>||7日<br>||3个月<br>,2,参考解析：本题考核检举事项的处理。根据规定，举报中心应当在检举事项受理之日起15日内完成分级分类处理，特殊情况除外。<br>,模拟试卷二,
220211024,下列各项中，可以作为法律关系主体的有{{c1::}}。,某市财政局<br>||人民银行<br>||企业工会<br>||个体经营者<br>,1||2||3||4,参考解析：本题考核法律关系主体。选项AB，属于主体范围中的国家机关；选项C，属于经济组织的内部机构；选项D，属于个人，都是法律关系的主体。<br>,模拟试卷二,
220211025,,,1||2||3||4,参考解析：本题考核法人设立中的责任承担。设立人为设立法人以自己的名义从事民事活动产生的民事责任，第三人有权选择请求法人或者设立人承担。<br>,模拟试卷二,
220211026,根据会计法律制度的规定，下列职务中，属于不相容职务的有{{c1::}}。,业务经办与稽核检查<br>||会计记录与财产保管<br>||授权批准与监督检查<br>||业务经办与会计记录<br>,1||2||3||4,参考解析：本题考核单位内部会计监督。不相容职务主要包括：授权批准与业务经办，业务经办与会计记录（选项D）、会计记录与财产保管（选项B）、业务经办与稽核检查（选项A）、授权批准与监督检查（选项C）等。<br>,模拟试卷二,
220211027,根据支付结算法律制度的规定，关于委托收款结算方式的下列表述中，正确的有{{c1::}}。,银行在为单位办理划款时，付款人存款账户不足支付的，应通知付款人交足存款<br>||单位凭已承兑的商业汇票办理款项结算，可以使用委托收款结算方式<br>||以银行以外的单位为付款人的，委托收款凭证必须记载付款人开户银行名称<br>||委托收款仅限于异地使用<br>,2||3,参考解析：本题考核委托收款结算方式的适用。委托收款在同城、异地均可以使用，D选项错误。银行在办理划款时，付款人存款账户不足支付的，应通过被委托银行向收款人发出未付款项通知书，选项A错误。<br>,模拟试卷二,
220211028,根据劳动合同法律制度的规定，下列关于劳动者法律责任承担的表述中，正确的有{{c1::}}。,劳动合同被确认无效，给用人单位造成损失的，有过错的劳动者应承担赔偿责任<br>||劳动者违法解除劳动合同，给用人单位造成损失的，应承担赔偿责任<br>||劳动者违反培训协议，未满服务期解除或者终止劳动合同的，应按照劳动合同约定向用人单位支付违约金<br>||劳动者违反劳动合同中约定的竞业限制，应按照劳动合同约定向用人单位支付违约金<br>,1||2||3||4,参考解析：本题考核劳动者承担法律责任的情形。劳动者违反服务期约定、违反竞业限制约定的，应当按照约定向用人单位支付违约金。<br>,模拟试卷二,
220211029,某超市既从事零售业务，又从事食品加工业务。会计人员小张对该超市（增值税一般纳税人）2021年12月份购进的水果进行增值税进项税额抵扣处理，下列处理方法中，正确的有{{c1::}}。,从美国进口的水果，凭海关进口增值税专用缴款书上注明的增值税额为进项税额<br>||从A公司（一般纳税人）购进的水果，凭增值税专用发票上注明的增值税额为进项税额<br>||从B公司（小规模纳税人）购进的水果，凭取得的增值税专用发票上注明的增值税额为进项税额<br>||从农户C购进的免税土豆，将其加工成土豆泥（适用税率13％）后出售给连锁餐饮企业，以收购凭证上注明的买价和10％的扣除率计算进项税额<br>,1||2||4,参考解析：本题考核购进农产品的抵扣规定。选项C，从按照简易计税方法依照3％征收率计算缴纳增值税的小规模纳税人取得增值税专用发票的，以增值税专用发票上注明的金额和9％的扣除率计算进项税额；选项D，纳税人购进用于生产或者委托加工13％税率货物的农产品，按照10％的扣除率计算进项税额。<br>,模拟试卷二,
220211030,根据消费税法律制度的规定，下列行为中，不属于消费税征税范围的有{{c1::}}。,甲卷烟厂销售自产的卷烟<br>||乙汽车厂销售自产的载货汽车<br>||丙外贸公司进口高档电器产品<br>||丁银行销售金银纪念币<br>,2||3||4,参考解析：本题考核消费税税目与征税范围的结合。目前征收消费税的应税消费品有：烟、酒、高档化妆品、成品油、贵重首饰和珠宝玉石、鞭炮焰火、高尔夫球及球具、高档手表、游艇、木制一次性筷子、实木地板、小汽车、摩托车、电池、涂料，所以选项B、C、D当选。<br>,模拟试卷二,
220211031,针对个人转让土地使用权的业务，下列说法正确的有{{c1::}}。,属于增值税“销售无形资产”税目范围<br>||属于个人所得税“特许权使用费所得”税目范围<br>||属于增值税“销售不动产”税目范围<br>||属于个人所得税“财产转让所得”税目范围<br>,1||4,参考解析：本题考核转让土地使用权所涉及不同税种征税范围的交叉。转让土地使用权，在增值税中属于“销售无形资产—销售自然资源使用权”的税目范围；在个人所得税中，属于“财产转让所得”的税目范围。<br>,模拟试卷二,
